name,description,cuisine
अासामिस फिश फ्राइड राइस रेसिपी - Assamese Fish Fried Rice (Recipe In Hindi),अासामिस फिश फ्राइड राइस एक स्वादिष्ट डिश है जिससे आसाम के हर घर में बनाया जाता है. इसमें भारतीय फ्लेवर है और खाने में बहुत स्वादिष्ट। आप इसमें अपनी पसंद की फिश का प्रयोग कर सकते है. इस डिश को आप अपनी पार्टीज में भी बना सकते है. ,Assamese
पालक खिचड़ी रेसिपी - Palak Khichdi With Brown Rice And Toasted Peanuts (Recipe In Hindi),पालक खिचड़ी आपकी रोज की खिचड़ी से थोड़ी अलग है क्यूंकि इसमें ब्राउन चावल और मूंगफली का प्रयोग किया जाता है. इसमें सिर्फ प्रोटीन ही नै पालक की वजह से आयरन भी है जो आपके सेहत के लिए अच्छा है. मूंगफली को सेक कर इसमें डाला जाता है जो इसके फ्लेवर को और भी बढ़ाता है. ,North Indian Recipes
Desiccated Coconut Coriander Chutney Recipe,"Any snack is incomplete without a good dip, if you have a good dip along with your snack, it enhances the taste of the dish. We normally make coriander chutney at home; since it is a very common recipe in many households but sometime it is great to give it a twist. In this Desiccated Coconut Coriander Chutney Recipe, we have used desiccated coconut along with fresh coriander and that twist took this normal chutney recipe to another level. You can either use this recipe as a dip or as an accompaniment to South Indian Breakfasts.",South Indian Recipes
Frozen Strawberry Yogurt With Honey Recipe,"We all love ice creams specially kids but buying it from market is not a healthy option.This recipe can solves the problem. It is healthy, no sugar added to the recipe and it tastes like ice creams. You can serve Frozen Strawberry Yogurt Recipe With Honey as a guilt free dessert as a show stopper for parties and this is sure to be a hit regardless of age.",Continental
Onion Okra Recipe - Pyaz Wali Bhindi (Recipe in Hindi),Okra and onion are cooked with daily spices in onion ladyfinger vegetables. You can also make this vegetable for your daily meal or pack it in your lunch box.,Indian
Kerala Style Rich Creamy Egg Cashew Curry Recipe,"Rich Creamy Egg Cashew Curry Recipe is a Kerala-Coastal cuisine recipe which deliciously combines rich creamy cashew based curry and boiled eggs. Kerala is known for its wide availability of nuts especially cashews. People here have been using cashews in their dishes. This recipe is a sumptuous egg curry. This Rich Creamy Egg Cashew Curry is rich, creamy and yummy side dish to hot Phulkas.",Kerala Recipes
Dimer Malai Curry Recipe (Bengali Style Egg Curry In Coconut Milk),"Dimer Malai Curry is a very famous egg curry dish that belongs to the Bengal coastal. Bengal style egg curry made in coconut milk has various versions like chicken malai curry, prawn malai curry etc.",Bengali Recipes
Kovka Thorran Recipe - Kovakka Thuran (Recipe in Hindi),Tindore is cooked with coconut and other spices in Kovakka Thoron. It is made in every house of Kerala and served with sambar and rice or roti. It is very easy to make and you can also pack it in your lunch box.,Tamil Nadu
Mughalai Aloo Matar Cabbage Recipe - MUGHLAI Aloo Matar Gobi (Recipe in Hindi),"Mughalai Potato Pea Cabbage is an Indian side dish that you can make with your food. Ghee, curd and fried onion are used in it, which enhances its taste even more. Fresh green peas are used in this, which are found in large quantities in the market in winter.",Mughlai
Egg Butter Masala Recipe - Egg Butter Masala (Recipe in Hindi),"Egg butter masala is made like cheese butter masala. In this, curry is creamy and sharp. In this gravy, you can use cheese, eggs or tofu. Cashew is also used while making gravy, which makes this gravy even more tasty. You can make egg butter masala in your house parties or also for pot luck parties.",Indian
Bengali Style Dimer Torka Recipe (Egg Tadka Dal Recipe),"Bengali Style Dimer Torka Recipe (Egg Tadka Dal Recipe) is a very famous dhaba style egg preparation made from scrambled egg cooked in moong dal. It is a very street food style preparation in Bengal. The curry is packed with proteins. You can as well add other ingredients like minced chicken or pork, you can even keep it vegetarian by not adding scrambled egg as well. The choice of the lentils added can be also varied depending on your interest. You can even add kidney beans to make it even richer.",Bengali Recipes
गोअन एग ड्राप करी रेसिपी - Goan Egg Drop Curry (Recipe In Hindi),"गोवा में बहुत तरह की करी बनाई जाती है जिसे चावल के साथ खाया जाता है. यह करी अंडो से बनाई जाती है और इसमें नारियल, प्याज, धनिये के बीज और सुखी लाल मिर्च का प्रयोग किया जाता है. इमली का पेस्ट डालने से इस करी का स्वाद और भी बढ़ जाता है.",Goan Recipes
Potato Brokely Vegetable Recipe - Aloo Brocyxoli Sabzi (Recipe in Hindi),Potato Brokli vegetable is a quick -making vegetable in which potatoes and broccoli are cooked seven of daily spices. This is very good for health and you can make it for your daily dinner. You can also pack it in your children's lunch box.,North Indian Recipes
Happy moong spinach dal recipe - Sookhi Moong Palak Dal (Recipe in Hindi),Dry moong spinach dal is a happy vegetable in which moong dal and spinach are used. It is easy to make vegetables and you can make it for your daily meal.,North Indian Recipes
Sri Lankan Egg Curry Recipe - Sri Lankan Egg Curry (Recipe in Hindi),"Sri Lankan curry powder is used in Sri Lankan egg curry, which increases the taste of this gravy even more. This curry powder is also used in another non -velocity vegetables. This curry powder is pungent in taste, so you can also use coconut milk to make the taste equal.",Sri Likan
धनिये वाली अंडे की सब्ज़ी रेसिपी - Coriander Egg Curry (Recipe In Hindi),धनिये को भारत में रोज के खाने में इस्तेमाल किया जाता है. ज्यादातर धनिये को सब्ज़िओ को गार्निश करने के लिए इस्तेमाल किआ जाता है. धनिये वाली अंडे की सब्ज़ी में धनिये को पीस कर उसकी ग्रेवी बनाई जाती है. आप इसे अपने घर की पार्टियों के लिए बना सकते है. ,Indian
अंडा करी रेसिपी - Quick And Simple Egg Curry (Recipe In Hindi),अंडा करी नुस्खा एक त्वरित और आसान सब्ज़ी है जो 30 मिनट से कम समय में बनाई जा सकती है अगर आपके पास सभी सामग्री तैयार हो। इस अंडा करी में प्याज लहसुन अदरक और टमाटर आधारित ग्रेवी बनाई जाती है और फिर उसमे अंडा डाला जाता है।,Indian
हरयाणा स्टाइल एग करी रेसिपी - Spicy Haryana Style Egg Curry (Recipe In Hindi),"अगर आप हरयाणा के हाईवे से कहीं जा रहे है तोह आपको हर ढाबे पर यह डिश मिलेगी। तीखी और स्वाद से भरपूर, यह अंडे की करी फ्लेवर से भरपूर है. इसमें पनीर और मटर का भी प्रयोग होता है जो इसे और भी स्वादिष्ठ बनाता है. ",Haryana
Goan Egg Drop Curry Recipe,"In Goa, we make different types of curries to have along with rice. So when fish is not available, we make the egg-drop curry. This curry is made from eggs which are cracked and dropped in the spicy curry which is made up of grated coconut, onion, coriander seeds, dry red chilies, turmeric powder and tamarind. Addition of tamarind adds tanginess to the curry. The Goan Egg Drop Curry is easy to cook and takes just 20 Minutes. You can serve the Goan Egg Drop Curry along with steamed rice or have this with bread or phulkas.",Goan Recipes
Egg Lifafa Paratha Recipe,If you are bored with your daily routine breakfast then this recipe is perfect for you to give a twist to your routine. Try this Egg Lifafa Paratha which is easy to make and can be made with simple ingredients which are easily available in our kitchen. This egg paratha is a twist to the usual paratha and is perfect to serve for your weekend breakfasts.,Indian
Fenugreek & Egg Fried Rice Recipe (Anda Methi Chawal),Fenugreek & Egg Fried Rice Recipe (Anda Methi Chawal) is a quick to prepare dish when you have plenty of leftover cooked rice in the fridge. With the addition of fenugreek (methi leaves) and scrambled eggs the fried rice gets the required protein and iron nutrient benefit as well. Fenugreek & Egg Fried Rice Recipe (Anda Methi Chawal) can make a great weeknight dinner. Serve the rice along with Mushroom and Bok Choy Stir Fry Recipe. You can also pack this protein packed flavorful rice for the kids school lunch box.,Indo Chinese
एग एंड ब्रेड फ्राइड राइस रेसिपी - Egg and Bread Fried Rice (Recipe In Hindi),एग एंड ब्रेड फ्राइड राइस एक आसान और स्वादिष्ट चावल की रेसिपी है जो की आप अक्सर होटल्स में खाते है. इस रेसिपी में सॉस का इस्तेमाल नहीं किया गया है और सिर्फ मसालो का प्रयोग किया गया है. यह साउथ इंडियन स्टाइल में बनाया गया है और आप इसे अपने पसंद के रायते के साथ परोस सकते है.  ,Fusion
Egg and Bread Fried Rice Recipe,"Egg and Bread Fried Rice is an easy and delicious variety rice. I like to eat egg fried rice in restaurants. I tried it in Indian style without adding any sauces or vegetables and by adding some masala spices, it was super delicious than the normal fried rice. It is more of South Indian style and I have added bread slices which takes the taste to next level. This egg fried rice is my mother's favourite Sunday meal.",Fusion
Broccoli eggs of bhurji recipe - Broccoli Egg Bhurji (Recipe in Hindi),"Whenever we cook, we keep making something new. Egg is also a recipe from which we make different types of recipes. In every house, egg bhurji is made for breakfast. But in this recipe, we will use broccoli in it and will give a new twist to this recipe.",Indian
Eggs and Turai Bhurji recipe - Egg and RIDGE GORD BURJI (Recipe in Hindi),"Eggs and Turai Bhurji is a delicious recipe that you can also give to your children in lunch box. Not only in India, this dish is also very famous in China and Vietnam.",South Indian Recipes
Basbousa Recipe With Egg,"Basbousa Recipe With Egg is a middle eastern cake made with semolina, desiccated coconut and flour. This recipe is a variant of classic basbousa recipe since this has eggs in it too. I wanted to bring in the goodness of eggs in this recipe such that the texture is more fluffy and hence this dish. Serve Basbousa Recipe With Egg as a party dessert along with Fizzy Pomegranate & Mint Mocktail Recipe for a house party with friends and family.",Middle Eastern
सरसो वाली एग करीरेसिपी - Mustard Egg Curry Recipe (Recipe In Hindi),सरसो वाली एग करी एक बंगाली डिश है और इसमें बंगाली मसालो का प्रयोग किआ जाता है. इसमें पांच फोरन मसाला का भी प्रयोग किआ जाता है. सरसो वाली एग करी को चावल या लच्छा पराठा के साथ गरमा गरम परोसे।,Indian
Bengali egg vegetable recipe - Bengali Egg Curry (Recipe in Hindi),"Onion, tomato gravy is made in Bengali egg vegetable and potatoes and eggs are added to it. It is very easy to make vegetables and is made in a very short time. You can also pack this vegetable in your lunch box or you can take Pot for Luck parties. Eggs are very high in protein, so they are also good for your health.",Bengali Recipes
Macher Chop Recipe (Bengali Style Fish Croquettes),Macher Chop Recipe is a delicious and mouthwatering Bengali Style Fish Croquettes that is normally served as party starter or along with the festive meal plate. This recipe can also be served as a snack. ,Bengali Recipes
Chinese Tacos (Salad Taco with Hot and Sweet Vegetables) -Fusion Recipe,"Chinese Tacos (Salad Taco with Hot and Sweet Vegetables) -Fusion Recipe is a twist to the regular tacos with plenty of green leafy vegetables making it a healthy anytime snack. With summers at its peak, this recipe is refreshing and filling. These tacos are perfect for you if you are on a low carb diet. It is high in antioxidants and rich in fibre too. These tacos can be served as party starters or can be easily assembled during your picnics. Even cucumber or Zucchini shells can make a replacement for cabbage or lettuce leaves for these tacos. A must try lunch or dinner snack that is sure to make you feel light and guilt-free!",Fusion
Beetroot Falafel With Pita Bread Recipe,Beetroot Falafel With Pita Bread Recipe is a Lebanese cuisine recipe which is made out of healthy vegetables and is served with pita bread. It is a traditional Lebanese food that is healthy and looks attractive also. It supplies a good amount of nutrients through beetroot and chickpeas.,Middle Eastern
Stir Fried Brown Rice And Wild Rice Topped With Honey-Glazed Tofu Recipe,Stir Fry Brown Rice and Wild Rice Topped With Honey-Glazed Tofu Recipe is a quick vegetarian main course made from a combination of wild rice and brown rice. The ingredients used in this recipe are exotic and quite healthy.,Indo Chinese
Kollu Vada Kurma Recipe (Horse Gram Fritters Spicy & Tangy Curry),"The Kollu Vada Kurma Recipe is a fingerlicking curry to relish either with rice or with rotis, that is made from horse gram dal. The horse gram dal fritters are added in this coconut based masala gravy, making it a healthy addition to a traditional korma recipe. ",South Indian Recipes
Manga Gojju Recipe (Spicy Mango relish),"Manga Gojju or mango curry is a spicy, sweet and tangy instant mango relish, made especially during the summers when unripe green mangoes are abundantly available. This South Indian style preparation is quick and easy to prepare and is a great accompaniment to Phulkas, allo paratha or rice. ",South Indian Recipes
Spinach Chole Recipe - Palak Chole (Recipe in Hindi),"Spinach Chole is a very simple and tasty recipe in which the cholo is cooked with spinach. Chickpeas have high protein content, so it is also considered good for health. By adding spinach to this vegetable, the nutrition of this vegetable becomes even more.",North Indian Recipes
Peshawari Chole Recipe - Peshawari Chole (Recipe in Hindi),Peshawari Chole is a very tasty recipe from Punjab in which Chhole is cooked in a sharp gravy. You can make this vegetable for your daily dinner or for Pani Ghar parties.,Lucknowi
Peshawari Chole Recipe,"Peshawari Chole is just one of the many delicious dishes from the Punjab, and as the name suggests, has a hint of Peshawari style of cooking. Spicy and flavorsome, this dish requires some prior planning as the chickpeas need to be soaked in water for at least 6 hours. Serve the Peshawari Chole along with hot Bhatura or Naan, it makes an ideal Sunday lunch for the whole family. You can also top Samosa or Aloo Tikkis with the tasty Peshawari Chole and relish it as a tea time snack. ",Lucknowi
PAN FRAED AVOCADO KOFTA Recipe,Want to try out something healthy? This Avocado Koftas are completely healthy ones. Fried using very little oil and can be served as an appetizer with any condiment of your choice. You can also make them as appetisers for your parties and we are sure your guests will just love them. These koftas can also be made into gravy. Just make a rich tomato onion gravy and serve these koftas along. Yummy! Isn't it?,Indian
Gujarati Waghareli Mag Recipe - Gujarati Vaghareli Mag (recipe in hindi),"In Gujarati, there is a tadka of Vagharela, in which moong is added to rye, cumin and ginger. Lemon juice is added to it from above, which makes it even more tasty. You can also pack it in your lunch box.",Gujarati Recipes﻿
Sparkling Strawberry Mocktail Recipe,"If you really want a refreshing drink without having to worry about calories, then Sparkling Strawberry Mocktail is a definitely a Recipe you must try.  It is a non alcoholic drink with no added sugar. Just sip it and enjoy. It has the freshness from strawberry and it tastes delicious.",Continental
चाउ चाउ सांबर रेसिपी - Chow-Chow Sambar (Recipe In Hindi),सांबर एक स्वादिष्ट डिश है जिसे दक्षिण भारत में बनाया जाता है. आप इसे नाश्ते में इडली या डोसे के साथ बना सकते है या अपने रोज के खाने के लिए चावल के साथ परोसे। इस सांबर में चाउ चाउ का प्रयोग होता है जो इसके स्वाद को और भी बढ़ाता है.,South Indian Recipes
Cream Cheese Scrambled Eggs Recipe,The Cream Cheese Scrambled Eggs Recipe is a simple yet delicious recipe where the eggs are scrambled along with cheese spread to bring out great taste and flavors. ,Continental
Chettinadu Nandu Varuval Recipe (Crab Fry Dry With Baby Onions),"Chettinad Cuisine is very close to my heart. Dad makes some amazing Chettinad recipes at home, and we thoroughly enjoy it. Nandu Varuval (crab fry) is a finger licking good preparation of crab using shallots or baby onions and a whole lot of aromatic and bold spices. Pepper powder gives a nice smoky spicy flavour. No Chettinad cuisine is complete without coriander powder, red chilli powder, fennel powder and curry leaves. Make this easy and delicious crab fry recipe whenever you have guests at home. They sure are going to be impressed.",Chettinad
No-Bake Strawberry Cream Cheese Dessert Recipe,"No-Bake Strawberry Cream Cheese Dessert is one of my favorite dessert recipes. Rich, creamy and mousse-like, this no-bake cream cheese dessert is served in individual glasses, making it a fancy yet simple dessert. It is easy to make, delicious to eat and appeals to almost everyone. Pretty layer of crumbs, creamy filling and fruit topping makes this dessert a standout.",Continental
No Bake Poha & Millets Chocolate Tart With Strawberry Cheese Recipe,No Bake Poha & Millets Chocolate Tart With Strawberry Cheese is a no-bake tart base using traditional ingredients of an Indian cooking. It is sweetened with jaggery and binded with almonds and made too irresistible with dark chocolate. The tart is filled with fresh strawberry sauced whipped with cream cheese and curd cheese.,Fusion
Goan Style Bimblanche Sasav Recipe,"Bimbla Raita also known as Bimbla Sasav in Goa is a very simple sweet and sour condiment goes well with Indian Vegetarian lunch. This can be enjoyed as an Indian dip too. Main ingredient in this recipe is called Bimbla, which is a fruit of a tree called cucumber tree or tree sorrel. This is a tasty vegetable that is also eaten raw in Kerala, parts of Karnataka and Goa, as well as included in recipes like pickles and salads.",Goan Recipes
Grapes Muffin Recipe ,"Muffins are best for parties or for kids lunch boxes, even adults can store them at their offices and snack on whenever hungry. But how to make them healthy is the question we often come across. First thing which we can do is replace normal flour and use wheat flour or brown bread flour as it has more fibre. Next thing we can do is add nuts to it or some fruit or both. I had some grapes in my fridge and thought of emptying them. So I basically ended up with an awesome recipe for grapes muffins! It taste really wonderful and you can even store in your refrigerator for some days.",Continental
Nendran Banana Jamun Recipe (Kerala Banana Jamun),Nendran Banana Jamun is a delicious festival sweet prepared with Kerala banana. Nendran Banana is an intensely sweet variety of banana which has to be consumed only when fully ripe.,Kerala Recipes
Soya Kema Masala Recipe - Soya Khema Masala (Recipe in Hindi),"Soya Keema Masala is a delicious dish that is very easy to make. In this dish, soya is cooked with potatoes and peas. These three ingredients are then cooked with daily spices. You can also make this vegetable for your house parties or potatoes.",Indian
Goan Desert Sakhar Bhaat Recipe,"Goan Dessert Sakhar Bhaat Recipe is a very popular dessert cooked in many parts in India. In Goa, Basmati rice is cooked separately in lots of ghee . Generous amount of saffron and sugar is what takes it to perfect this recipe and result is the absolutely mouthwatering traditional dessert. Serve Goan Dessert Sakhar Bhaat Recipe as a dessert along with a Goan inspired meal of The Goan Kelyachyo Fodi, Tawa Paratha, Steamed rice and Potato Vindaloo Recipe (Spicy Goan Potato Curry).",Goan Recipes
Zucchini Keerai Thogayal Recipe - South Indian Tangy Spinach and Zucchini Chutney,"The Zucchini Keerai Thogayal Recipe is a lip smacking tangy and spicy chutney from the South Indian Cuisine. The Zucchini and spinach are first cooked in a pan and pureed along with roasted methi seeds, urad dal and black pepper making it very ayurvedic and healthy. ",South Indian Recipes
No Bake Oreo Chocolate Tart Recipe,"This no-bake oreo tart is a huge hit amongst kids & adults equally. This a no-bake tart so you can easily prepare it before hand if in case you are having guests coming over. You can easily store in the fridge for 2 to 3 days and enjoy it after dinner. We have used cherries as the topping but you can use any other topping of your choice like strawberry or banana. We have also used chopped nuts and loved it to the core as it gave a kind of crunchy lift to the pie. But if in case you are not a fan of nuts, you can use choco chips.",Continental
Chinese Style Stir Fried Water Chest Nut with Vegetables Recipe,"Chinese Style Stir Fried Water chestnut with Vegetables Recipe is a very healthy recipe that contains almost all the vegetables and water chestnuts, stir fried with mildly flavored soy sauce, salt and pepper. This will make a perfect side dish for your Chinese meals. You can just have them as your starters with other Chinese starters as well.",Chinese
Chocolate And Oats Christmas Cookie Cake Recipe,"Every Christmas irrespective of whether you celebrate it or not everyone wants a slice of cake. Here is a recipe for a flourless, eggless cookie cake that can be prepared in under 30 mins. You can decorate the cake with a variety of dried fruits and make it quite interesting. Its an extremely filling cake and can be whipped up when there are unexpected guests at home. ",Continental
Broccoli & Water Chestnut Soup Recipe ,Broccoli & Water Chestnut Soup Recipe is a comforting and healthy soup that you must try for your Sunday brunch meals. They also form a complete healthy breakfast and you can fill up your stomach in no time. All you need is to cook the broccoli and water chestnuts and blitz them in the blender and add some milk and boil it with some dried seasonings and your soup is ready.,Continental
Gawar's vegetable recipe - Gavar Ki Sabji (Recipe in Hindi),"Gawar vegetable is a simple dish that you can serve with roti or paratha. In this, the gun is cooked with daily spices. It is very easy to make vegetables, so you can also pack it for your lunch box.",Rajasthani
Urad Dal Vada Recipe (Non Deep Fried),Urad Dal Vadais a non deep fried version of Medu Vada. It is prepared using urad dal batter and served with coconut chutney. This is a South Indian recipe and can be prepared with a handful of ingredients. This can be made to be served for breakfast or snacks. Serve Urad Dal Vada Recipe (Non Deep Fried) along with South Indian Coconut Chutney and alongside Spicy Crunchy Masala Idli Recipe and Bangalore Restaurant Style Sambar Recipe.,South Indian Recipes
Bhuna mukh recipe,"Bhuna Murgh is a dry chicken curry smeared in tomato base with fresh fragrance of ginger, garlic and bhuna masala and the Indian spices and is a popular takeaway favourites. Serve Bhuna Murgh as an appetizer or along with Garlic Naan for a weekend night dinner.",North Indian Recipes
Teekha Murgh Recipe,"A fiery chicken recipe made with green chillies, red chillies and black pepper, with dry roasted curry leaves acting as the cherry on the top. If you love hot and spicy gravy then this recipe is for you. Serves a delicious side dish to chapati, naan or kulcha. Make this for your weekend lunch or dinner or pack it for your pot luck parties.",Indian
Parsi Salli Murg Recipe - Parsi Salli MURGH Recipe (Recipe),"Parsi Salli Mug is a pungent chicken curry usually garnished with potato fries.  This curry is made in every important occasion in the Parsi community.  Parsi Salli Mug is very tasty in itself, but it can also be eaten with rice.",Parsi Recipes
Mughlai Bhendi Recipe - MUGHLAI BHIND (Recipe in Hindi),"Mughalai food comes from Mughal Raj. These vegetables were made in the royal kitchen, in which dry fruits, nuts and different types of spices are used. You can make this Mughalai lady finger for your daily or also for your guests.",Mughlai
Kasuri Malai MURGH Recipe,"Kasuri Malai Murgh is a rich, creamy chicken curry made with cashew paste and fresh cream & flavoured with fresh ground pepper and dry fenugreek leaves. Kasuri Malai Murgh comes from Mughal Cuisine and is a perfect side dish with Rumali Roti or Naan. The creamy, silky gravy with juicy and tender chicken pieces is simply irresistible and can be a show stopper dish at any house party.",North Indian Recipes
MURGH Ajmeri Recipe,"A classic Chicken curry from the Holy City Ajmer, named after the city Murgh Ajmeri is a thick and spicy chicken delicacy where the marinated chicken pieces are slow cooked with Indian spices.",Rajasthani
ओट्स पालक पोंगल रेसिपी - Oats And Spinach Pongal (Recipe In Hindi),"ओट्स पालक पोंगल एक सरल और फ्लेवर से भरपूर डिश है जो बनाने में बहुत आसान है. इसका स्वाद लाजवाब है और घी, हरी मिर्च और पालक इसका स्वाद और भी बढाती है. ",Tamil Nadu
Flourless Chocolate Rum Cake Recipe,"A dark and decadent chocolate cake that has a boozy kick to it. You can make it alcohol free by using coffee instead of the rum and it is still just as delicious. It is easy to make , yum as it is and amazing with a scoop of ice-cream. Try this gluten free dessert at your next dinner party! ",Continental
Sweet Potato & Beetroot Kebab Recipe,"Sweet Potato and Beet Balls is a simple, healthy and delectable recipe that is versatile. It can be served as an appetiser for a party with a spicy sriracha , or as balls with pasta sauce topped on a penne or even made into Indian style kofta’s. The combination of beetroot and sweet potatoes cooked in a no fry method, makes it extra nutritious and delicious. Serve Sweet Potato & Beet Kebab Ball Recipe with ketchup, along with other appetizers like Egg Shoap Recipe | Assamese Appetizer and Bhaji Miligai And Baby Potato Fry Recipe.",Indian
Cinnamon Spiced Orange Iced Tea Recipe,Spiced Orange Iced Tea is a refreshing summer drink flavored with the citrusy juiciness of orange and whole spices. There is something extremely pleasant about having citrus in the summer season and nothing can be better that a chilled glass of Spiced Orange Iced Tea.,Continental
Lavender Lemonade Cooler Recipe,"Lavender Lemonade Cooler makes a perfect summer drink to refresh the taste buds. Lavender has a personality,  inspires people to tap into their creative self. It is beautiful, gentle, fragrant aromatic herb that relieves stress and has calming properties. Lavender is widely used in essential oils, teas and gourmet cooking. Lavender Lemonade is a great recipe to include this magical herb during summers in the drink. The flavours of lavender along with lemonade made this a delicious drink.",Continental
कश्मीरी कोकुर यखनी रेसिपी - Chicken Cooked In Yogurt (Recipe In Hindi),कश्मीरी कोकुर यखनी एक बहुत ही प्रसिद्द डिश है जिसे कश्मीर में त्यौहार के दौरान बनाया जाता है. इस रेसिपी में चिकन के टुकड़ो को दही और कश्मीरी मसालो के साथ पकाया जाता है. ,Kashmiri
Japanese Chicken Udon Soup Recipe,"Chicken Udon Soup is loaded with chicken, vegetables and udon noodles in a rich broth.  It’s super easy to make and it hits the spot when you’re in the mood for a hearty Japanese soup.  If you want to make it extra special, add a few pieces of shrimp tempura to the bowl. You’ll be hooked for sure!! ",Japanese
Chicken Souvlaki with Tzatziki Recipe ,"A greek dish in which Chicken breasts are cut into equal pieces and marinated with Greek flavours, later skewered and cooked. Chicken Souvlaki is typically served with flatbread that are are filled with lettuce,  tomatoes, salad and wrapped with Tzatziki. Tzatziki is  a flavorful dip made with Greek yogurt and grated Cucumber, an ideal condiment for wraps and rolls.",Greek
Oats Ven Pongal Recipe - Oats Ven Pongal (Recipe in Hindi),"Oats Wayne Pongal is a simple and flavor -rich dish that is very easy to make. Its taste is wonderful and ghee, ginger and black pepper enhances its taste even more.",South Indian Recipes
Murmure's Upma Recipe - Puffed Rice Upma (Recipe in Hindi),"The upma of Murmure is an easy upma recipe that you can make for your busy morning. The puffed water is removed from the soaked water, which makes them soft and then cooked with spices. You can also pack it in your children's lunch box because this dish is liked by children.",South Indian Recipes
Cauliflower Croquettes Recipe ,"Cauliflower Croquettes Recipe is a wonderful snack that your kids would love to have them. It is so easy to make and it can be served as your party starters or even as an after school snack that can be nibbled away. The cauliflower is a smart option to add them into these bite sized snack that will be finished within no time. We have used less oil to prepare by shallow frying the croquettes rather than deep frying them. You can even shape them into different shapes, it is fried them in a Kuzhi paniyaram pan for a healthier option.",Continental
Ragi Semiya Recipe - Ragi Vermicelli/Semiya (Recipe in Hindi),"Ragi Semiya is a very healthy breakfast recipe that you can make in a very short time. You can also pack it in your or your children's lunch box. Easy to make and tasty to eat, it is also healthy for your health.",South Indian Recipes
चटनी चिल्ली चीज़ टोस्ट रेसिपी - Chutney Chilli Cheese Toast (Recipe In Hindi),चटनी चिल्ली टोस्ट एक भारतीय स्टाइल ओपन टोस्ट रेसिपी है जिसमे हरी चटनी का प्रयोग किया जाता है. आप इस डिश को अपने सुबह के या शाम के नाश्ते के लिए परोस सकते है. आप यह अपने बच्चो के स्नैक बॉक्स में भी पैक कर सकते है.,Indian
रेड राइस डोसा रेसिपी - Red Rice Dosa (Recipe In Hindi),रेड राइस डोसा एक सेहतमंद रेसिपी है जिसमे रेड राइस को पीसकर डोसा बनाया जाता है. यह बनाने में आसान है और आप इसे अपनी पसंद की चटनी और सांबर के साथ परोस सकते है. ,South Indian Recipes
Moong Dal Dosa Recipe - Moong Dal Dosa (Recipe in Hindi),Moong Dal Dosa is a healthy recipe in which moong dal and rice are used. It is easy to make and you can serve it with the chutney and sambar of your choice.,South Indian Recipes
खरा भात रेसिपी - Khara Bhath (Recipe In Hindi),खरा भात एक दक्षिण भारतीय रेसिपी है जिसे सुबह के नाश्ते के लिए बनाया जाता है. इस रेसिपी को आप अपने शाम के नाश्ते के लिए भी चाय या कॉफ़ी के साथ बना सकते है. ,Karnataka
Spinach Coriander Dosa Recipe - Palak Dhania Dosa (Recipe in Hindi),"Dosa is made for breakfast in every house in South India. It is served with chutney or sambar. You can make different types of dosa. There is a lot of time when you are unable to make a mixture of dosa, then you can make this dosa at that time. Spinach and coriander have also been used in it, which makes this dosa even more flavored.",South Indian Recipes
Goan Style Kulkuls Recipe (Honey glazed wheat Curls Recipe),Goan Style Kulkuls Recipe ( Honey glazed wheat Curls Recipe) is considered as one of the famous Christmas Goodies served to friends and families during the festival. This is a wonderful snack made from wheat dough which is shaped like butter curls or worms and then fried. Once it is cooled down it is then coated with honey.,Goan Recipes
KIWI BASIL LEMONADE RECIPE,"It summers and what can be a best way to survive the hot weather than a cool refreshing drink. Kiwi Basil Lemonade is perfect drink to beat the heat this summer. This drink is not too tangy, not too sweet and comes with perfect hint of kiwi. We can keep the kiwi basil pulp ready in fridge for a day and make it anytime we want. You can serve it as welcome drink to your guests. Even your kids will love it!",Continental
Karupatti coffee recipe,"Does your loved one have cold, cough? Then you must try this Karupatti coffee. Prepare the powder in advance, store it and use whenever required. This helps to cure cold and is perfect to have in cold nights.",Indian
Jain Style Dal Makhani Recipe - Jain Style Dal Makhani (Recipe in Hindi),"Jain style dal Makhani is a famous recipe that everyone likes. This is a sharp, creamy pulses that you can also make for your daily meal. Onion and garlic are not used in this lentil, so you can make it even during the festival days.",North Indian Recipes
Achari Aloo Parwal's vegetable recipe - Achari Aloo Parwal Sabzi (Recipe in Hindi),"Achari Aloo Parwal's vegetable is a semi dry recipe in which parwal and potato are cooked with Achari spices. This vegetable is cooked in mustard oil, which increases its flavor even more. You can also make this vegetable in a pan or pressure cooker.",North Indian Recipes
Bharwa Bitter gourd recipe - Bharwa Karela (Recipe in Hindi),"This stuffed bitter gourd is more healthy than deep fried bitter gourd because less oil is used in it. In the filling bitter gourd, spicy masala is filled inside the bitter gourd. You can serve this vegetable with your daily meal.",Indian
Munthiri Kothu Recipe,"Munthiri Kothu is a traditional sweet from southern part of Tamil Nadu, especially Kanyakumari. Munthiri means Cashews and kothu means bunch in Tamil. Initially I thought it is sweet made with Cashews but there is no relationship between Cashews and this recipe.",Tamil Nadu
BBQ Meatballs With Mashed Potatoes Recipe,BBQ Meatballs with mashed potato is a perfect meal to celebrate weekends with your family. The creamy mashed potatoes served with smoky BBQ meatballs are super delicious when eaten together. You can also add some steamed veggies in this meal.,Continental
